team.id,jerseyNumber,id,fullName,link,position.code,position.name,position.type
18,82,8478438,Tommy Novak,/api/v1/people/8478438,C,Center,Forward
18,3,8478468,Jeremy Lauzon,/api/v1/people/8478468,D,Defenseman,Defenseman
18,13,8478508,Yakov Trenin,/api/v1/people/8478508,C,Center,Forward
18,45,8478851,Alexandre Carrier,/api/v1/people/8478851,D,Defenseman,Defenseman
18,57,8479371,Dante Fabbro,/api/v1/people/8479371,D,Defenseman,Defenseman
18,84,8479661,Tanner Jeannot,/api/v1/people/8479661,L,Left Wing,Forward
18,8,8479996,Cody Glass,/api/v1/people/8479996,C,Center,Forward
18,32,8480947,Kevin Lankinen,/api/v1/people/8480947,G,Goalie,Goalie
18,75,8481704,Juuso Parssinen,/api/v1/people/8481704,C,Center,Forward
18,36,8482062,Cole Smith,/api/v1/people/8482062,L,Left Wing,Forward
19,41,8474145,Robert Bortuzzo,/api/v1/people/8474145,D,Defenseman,Defenseman
19,90,8475158,Ryan O'Reilly,/api/v1/people/8475158,C,Center,Forward
19,91,8475765,Vladimir Tarasenko,/api/v1/people/8475765,R,Right Wing,Forward
19,47,8476792,Torey Krug,/api/v1/people/8476792,D,Defenseman,Defenseman
19,22,8479366,Logan Brown,/api/v1/people/8479366,C,Center,Forward
19,48,8481059,Scott Perunovich,/api/v1/people/8481059,D,Defenseman,Defenseman
19,6,8474618,Marco Scandella,/api/v1/people/8474618,D,Defenseman,Defenseman
19,1,8471306,Thomas Greiss,/api/v1/people/8471306,G,Goalie,Goalie
19,10,8475170,Brayden Schenn,/api/v1/people/8475170,C,Center,Forward
19,4,8475181,Nick Leddy,/api/v1/people/8475181,D,Defenseman,Defenseman
19,9,8475752,Tyler Pitlick,/api/v1/people/8475752,C,Center,Forward
19,72,8475753,Justin Faulk,/api/v1/people/8475753,D,Defenseman,Defenseman
19,17,8476410,Josh Leivo,/api/v1/people/8476410,L,Left Wing,Forward
19,50,8476412,Jordan Binnington,/api/v1/people/8476412,G,Goalie,Goalie
19,20,8476438,Brandon Saad,/api/v1/people/8476438,L,Left Wing,Forward
19,55,8476892,Colton Parayko,/api/v1/people/8476892,D,Defenseman,Defenseman
19,89,8477402,Pavel Buchnevich,/api/v1/people/8477402,L,Left Wing,Forward
19,36,8477463,Steven Santini,/api/v1/people/8477463,D,Defenseman,Defenseman
19,26,8477573,Nathan Walker,/api/v1/people/8477573,L,Left Wing,Forward
19,49,8477964,Ivan Barbashev,/api/v1/people/8477964,C,Center,Forward
19,52,8478569,Noel Acciari,/api/v1/people/8478569,C,Center,Forward
19,77,8478859,Niko Mikkola,/api/v1/people/8478859,D,Defenseman,Defenseman
19,25,8479385,Jordan Kyrou,/api/v1/people/8479385,C,Center,Forward
19,18,8480023,Robert Thomas,/api/v1/people/8480023,C,Center,Forward
19,37,8480041,Dmitri Samorukov,/api/v1/people/8480041,D,Defenseman,Defenseman
19,43,8480157,Calle Rosen,/api/v1/people/8480157,D,Defenseman,Defenseman
19,13,8480281,Alexey Toropchenko,/api/v1/people/8480281,R,Right Wing,Forward
19,75,8481006,Tyler Tucker,/api/v1/people/8481006,D,Defenseman,Defenseman
